setup,bidirectional_throughput,parallel_throughput,unidirectional_latency,unidirectional_throughput
fiber_experimental,128149076.37637767,70545646.65549436,0.00031594461485358555,20991696.429815985
fiber_ethernet_control,117944579.62973106,112177912.14444348,0.000297936744525273,23433549.153437328
fiber_one_port_control,191643824.91512606,258591299.88604483,0.0002205767742230657,191937349.45248342
fiber_shared_host_port_control,326137567.2366376,269437492.91299975,0.0002587281241733071,415212813.3825723
