setup,bidirectional_throughput,parallel_throughput,unidirectional_throughput
fiber_experimental,4.238056697156865e-08,2.1787825163004338e-07,6.9881760765761e-08
fiber_ethernet_control,1.0783093009286542e-07,2.461868562349001e-07,7.256539575874167e-08
fiber_one_port_control,5.385012969143211e-06,2.7772154069293955e-06,5.340324384165881e-06
fiber_shared_host_port_control,5.531933857688728e-06,2.5461788240931246e-06,5.4867098267116095e-06
