setup,bidirectional_throughput,parallel_throughput,unidirectional_latency,unidirectional_throughput
fiber_experimental,924369213.5008619,900223865.715328,0.0013151966666666666,941250656.7541406
fiber_ethernet_control,926375168.3729309,862776500.714231,0.0013167,940975477.3873535
fiber_one_port_control,2896296736.667852,1631342091.9025998,0.0010573700000000002,2912388604.502061
fiber_shared_host_port_control,2729620155.3420124,1574683032.0771627,0.0011004979999999999,2726112872.180154
